Estado | $   | A  | B  | S  | and | false | lparen | not | or | rparen | true
0      |     | 3  | 7  | 1  |     | S5    | S4     | S2  |    |        | S6  
1      | acc |    |    |    |     |       |        |     | S8 |        |     
2      |     |    | 9  |    |     | S5    | S4     | S2  |    |        | S6  
3      | R1  |    |    |    | S10 |       |        |     | R1 | R1     |     
4      |     | 3  | 7  | 11 |     | S5    | S4     | S2  |    |        | S6  
5      | R1  |    |    |    | R1  |       |        |     | R1 | R1     |     
6      | R1  |    |    |    | R1  |       |        |     | R1 | R1     |     
7      | R1  |    |    |    | R1  |       |        |     | R1 | R1     |     
8      |     | 12 | 7  |    |     | S5    | S4     | S2  |    |        | S6  
9      | R2  |    |    |    | R2  |       |        |     | R2 | R2     |     
10     |     |    | 13 |    |     | S5    | S4     | S2  |    |        | S6  
11     |     |    |    |    |     |       |        |     | S8 | S14    |     
12     | R3  |    |    |    | S10 |       |        |     | R3 | R3     |     
13     | R3  |    |    |    | R3  |       |        |     | R3 | R3     |     
14     | R3  |    |    |    | R3  |       |        |     | R3 | R3     |     

